Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
9-Apr-16,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,by wickets,9.0
10-Apr-16,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,by wickets,9.0
11-Apr-16,Kings XI Punjab,Gujarat Lions,Gujarat Lions,by wickets,5.0
12-Apr-16,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,45.0
13-Apr-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,by wickets,6.0
14-Apr-16,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,by wickets,7.0
15-Apr-16,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,by wickets,8.0
16-Apr-16,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,8.0
16-Apr-16,Mumbai Indians,Gujarat Lions,Gujarat Lions,by wickets,3.0
17-Apr-16,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,by wickets,6.0
17-Apr-16,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,by wickets,7.0
18-Apr-16,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,by wickets,7.0
19-Apr-16,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,6.0
20-Apr-16,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,by wickets,6.0
21-Apr-16,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,10.0
22-Apr-16,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,by runs,13.0
23-Apr-16,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,by runs,10.0
23-Apr-16,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,by wickets,5.0
24-Apr-16,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,by wickets,6.0
24-Apr-16,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,2.0
25-Apr-16,Kings XI Punjab,Mumbai Indians,Mumbai Indians,by runs,25.0
26-Apr-16,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,by runs,34.0
27-Apr-16,Delhi Daredevils,Gujarat Lions,Gujarat Lions,by runs,1.0
28-Apr-16,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,by wickets,6.0
29-Apr-16,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,by wickets,3.0
30-Apr-16,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,by runs,27.0
30-Apr-16,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,by runs,15.0
1-May-16,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,by runs,23.0
1-May-16,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,by wickets,8.0
2-May-16,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,5.0
3-May-16,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,by wickets,8.0
