Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
8-Apr-15,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,by wickets,7.0
9-Apr-15,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,by runs,1.0
10-Apr-15,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,by runs,26.0
11-Apr-15,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,by runs,45.0
11-Apr-15,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,3.0
12-Apr-15,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,by wickets,3.0
12-Apr-15,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,by runs,18.0
13-Apr-15,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,8.0
14-Apr-15,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,by wickets,7.0
30-Apr-15,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,by wickets,7.0
15-Apr-15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,by wickets,5.0
16-Apr-15,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,by wickets,6.0
17-Apr-15,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,by wickets,6.0
18-Apr-15,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,by runs,4.0
18-Apr-15,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,4.0
19-Apr-15,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,by wickets,8.0
19-Apr-15,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,by runs,18.0
20-Apr-15,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,6.0
21-Apr-15,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Tie,
22-Apr-15,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,by runs,16.0
22-Apr-15,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,by runs,27.0
23-Apr-15,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,by runs,37.0
24-Apr-15,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,9.0
25-Apr-15,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,by runs,20.0
25-Apr-15,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,by runs,97.0
26-Apr-15,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,10.0
27-Apr-15,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,20.0
7-May-15,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,by runs,13.0
