Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
8-Apr-11,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,by runs,2.0
9-Apr-11,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,by wickets,8.0
9-Apr-11,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,6.0
10-Apr-11,Delhi Daredevils,Mumbai Indians,Mumbai Indians,by wickets,8.0
10-Apr-11,Pune Warriors,Kings XI Punjab,Pune Warriors,by wickets,7.0
11-Apr-11,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,by runs,9.0
12-Apr-11,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,by wickets,6.0
12-Apr-11,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,by wickets,9.0
13-Apr-11,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,by wickets,6.0
13-Apr-11,Pune Warriors,Deccan Chargers,Pune Warriors,by wickets,4.0
14-Apr-11,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,by runs,33.0
15-Apr-11,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,9.0
15-Apr-11,Mumbai Indians,Deccan Chargers,Deccan Chargers,by wickets,8.0
16-Apr-11,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,by runs,21.0
16-Apr-11,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,by wickets,8.0
17-Apr-11,Pune Warriors,Delhi Daredevils,Delhi Daredevils,by wickets,3.0
17-Apr-11,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,by wickets,8.0
18-Apr-11,Deccan Chargers,Chennai Super Kings,Deccan Chargers,by wickets,7.0
19-Apr-11,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by runs,16.0
20-Apr-11,Mumbai Indians,Pune Warriors,Mumbai Indians,by wickets,7.0
20-Apr-11,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,by runs,6.0
21-Apr-11,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,by runs,48.0
22-Apr-11,Mumbai Indians,Chennai Super Kings,Mumbai Indians,by runs,8.0
22-Apr-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,9.0
23-Apr-11,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,by runs,29.0
