Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
16-Apr-14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,by runs,41.0
17-Apr-14,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,8.0
18-Apr-14,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,by wickets,6.0
18-Apr-14,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,by wickets,4.0
19-Apr-14,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,by wickets,7.0
19-Apr-14,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,by wickets,4.0
20-Apr-14,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,by wickets,7.0
21-Apr-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,by runs,93.0
22-Apr-14,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,by runs,72.0
23-Apr-14,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,by runs,7.0
24-Apr-14,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,by runs,2.0
25-Apr-14,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,by runs,4.0
25-Apr-14,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,by wickets,7.0
26-Apr-14,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,by wickets,6.0
26-Apr-14,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,by runs,23.0
27-Apr-14,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,by wickets,6.0
27-Apr-14,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,by wickets,5.0
28-Apr-14,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,by wickets,5.0
29-Apr-14,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Tie,
30-Apr-14,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,15.0
2-May-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,by runs,34.0
3-May-14,Mumbai Indians,Kings XI Punjab,Mumbai Indians,by wickets,5.0
3-May-14,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,by wickets,7.0
4-May-14,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,by wickets,4.0
5-May-14,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,by runs,10.0
5-May-14,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,by wickets,8.0
6-May-14,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,by runs,19.0
7-May-14,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,8.0
7-May-14,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,by runs,44.0
8-May-14,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,32.0
9-May-14,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,by runs,32.0
10-May-14,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,8.0
10-May-14,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,by wickets,4.0
11-May-14,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,9.0
11-May-14,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,by wickets,5.0
12-May-14,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,by wickets,7.0
13-May-14,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,by wickets,5.0
13-May-14,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,by runs,16.0
14-May-14,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,by wickets,6.0
14-May-14,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,by wickets,6.0
15-May-14,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,by runs,62.0
18-May-14,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,5.0
18-May-14,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,7.0
