Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
12-Mar-10,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,by runs,11.0
13-Mar-10,Mumbai Indians,Rajasthan Royals,Mumbai Indians,by runs,4.0
13-Mar-10,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,by wickets,5.0
14-Mar-10,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,by wickets,7.0
14-Mar-10,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by runs,31.0
15-Mar-10,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,by wickets,6.0
16-Mar-10,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,by wickets,8.0
16-Mar-10,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,by runs,55.0
17-Mar-10,Delhi Daredevils,Mumbai Indians,Mumbai Indians,by runs,98.0
18-Mar-10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,by wickets,10.0
19-Mar-10,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,by wickets,5.0
19-Mar-10,Kochi Tuskers Kerala,Kings XI Punjab,Kochi Tuskers Kerala,by runs,6.0
20-Mar-10,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,by runs,34.0
20-Mar-10,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,7.0
21-Mar-10,Kochi Tuskers Kerala,Delhi Daredevils,Kochi Tuskers Kerala,by runs,10.0
21-Mar-10,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Tie,
22-Mar-10,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,by wickets,7.0
23-Mar-10,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,by runs,36.0
24-Mar-10,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,by runs,31.0
25-Mar-10,Mumbai Indians,Chennai Super Kings,Mumbai Indians,by wickets,5.0
26-Mar-10,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,by wickets,8.0
27-Mar-10,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,by runs,39.0
25-Mar-10,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,by runs,17.0
28-Mar-10,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,by runs,17.0
28-Mar-10,Kochi Tuskers Kerala,Mumbai Indians,Mumbai Indians,by runs,41.0
29-Mar-10,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,by runs,40.0
30-Mar-10,Mumbai Indians,Kings XI Punjab,Mumbai Indians,by wickets,4.0
31-Mar-10,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,by wickets,5.0
