Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
3-Apr-13,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,by wickets,6.0
4-Apr-13,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,by runs,2.0
5-Apr-13,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,by runs,22.0
6-Apr-13,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,by runs,5.0
6-Apr-13,Chennai Super Kings,Mumbai Indians,Mumbai Indians,by runs,9.0
7-Apr-13,Pune Warriors,Kings XI Punjab,Kings XI Punjab,by wickets,8.0
7-Apr-13,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Tie,
8-Apr-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,by runs,19.0
9-Apr-13,Mumbai Indians,Delhi Daredevils,Mumbai Indians,by runs,44.0
10-Apr-13,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,by wickets,10.0
11-Apr-13,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,by wickets,8.0
11-Apr-13,Pune Warriors,Rajasthan Royals,Pune Warriors,by wickets,7.0
12-Apr-13,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,3.0
13-Apr-13,Mumbai Indians,Pune Warriors,Mumbai Indians,by runs,41.0
13-Apr-13,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,by wickets,4.0
14-Apr-13,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,by runs,48.0
14-Apr-13,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,by wickets,6.0
15-Apr-13,Chennai Super Kings,Pune Warriors,Pune Warriors,by runs,24.0
16-Apr-13,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,by runs,4.0
16-Apr-13,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Tie,
17-Apr-13,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,11.0
17-Apr-13,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,by runs,87.0
18-Apr-13,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,by runs,86.0
